,Description,Category,Meta_Url,Source Code,Repository,Languages
12," A walk-through of how to build Instant Search experiences with Typesense Server. Typesense is an open source, typo tolerant search engine, with a REST API, that delivers fast and relevant results out-of-the-box.",Search,https://www.programmableweb.com/sample-source-code/typesense-instantsearch-demo,https://typesense.org/docs/0.15.0/guide/#search-ui,https://github.com/typesense/typesense-instantsearch-demo,JavaScript
13," This Python sample works with Acxiom Data Services API, a secure, real-time interface that provides direct access into Acxiom third party data products and industry leading entity resolution services.","Marketing, Data",https://www.programmableweb.com/sample-source-code/acxiom-data-services-python-sample-code,https://developer.myacxiom.com/resources/service_sample_code/service_python_code...,,Python
14," Imports System
Imports System.net
Public Module PikwyClient	Public Sub Main() Dim token As String Dim ApiUrl As String Dim UrlOpt As Url_Options token = ""YOUR_API_TOKEN"" UrlOpt.url = ""https://www.wikipedia.org/"" UrlOpt.width = 1280 UrlOpt.height = 1024 UrlOpt.response_type = ""image"" REM Parameters. ApiUrl = ""https://api.pikwy.com/?token="" &amp; token If token &lt;&gt; """" Then ApiUrl = ApiUrl &amp; ""&amp;url="" &amp; UrlOpt.url ApiUrl = ApiUrl &amp; ""&amp;width="" &amp; UrlOpt.width ApiUrl = ApiUrl &amp; ""&amp;height="" &amp; UrlOpt.height ApiUrl = ApiUrl &amp; ""&amp;response_type="" &amp; UrlOpt.response_type End If REM Save screenshot as an image. Dim Client As New WebClient Dim output As String = ""\output.png""	Console.WriteLine(ApiUrl) Client.DownloadFile(ApiUrl, output)	Console.WriteLine(""The file was saved!"")	End Sub
End Module
Module PikwyOptions Public Structure Url_Options Public url As String Public width As Integer Public height As Integer Public response_type As String End Structure
End Module",Screenshots,https://www.programmableweb.com/sample-source-code/pikwy-vbnet-source-code,https://pikwy.com,,".Net, Visual Basic"
15," #!/usr/bin/python
import urllib.request
import urllib.parse
def generate_screenshot_api_url(token, options): api_url = 'https://api.pikwy.com/?token=' + token if token: api_url = api_url + '&amp;url=' + options.get('url') api_url = api_url + '&amp;width=' + options.get('width') api_url = api_url + '&amp;height=' + options.get('height') api_url = api_url + '&amp;response_type=' + options.get('response_type') return api_url;
token = 'YOUR_API_TOKEN'
options = { 'url': 'https://www.wikipedia.org/', 'width': '1280', 'height': '2000', 'response_type': 'image' }
api_url = generate_screenshot_api_url(token, options)
#
opener = urllib.request.build_opener()
urllib.request.install_opener(opener)
output = 'output.png'
urllib.request.urlretrieve(api_url, output)",Screenshots,https://www.programmableweb.com/sample-source-code/pikwy-python-source-code,https://pikwy.com,,Python
16," var fs = require('fs')
var request = require('request');
// The parameters.
var token = 'YOUR_API_TOKEN';
var url = encodeURIComponent('https://www.wikipedia.org/');
var width = 1280;
var height = 1024;
var response_type = 'image';
// Create the query URL.
var query = ""https://api.pikwy.com"";
query += `?token=${token}&amp;url=${url}&amp;width=${width}&amp;height=${height}&amp;response_type=${response_type}`;
// Call the API and save the screenshot.
request.get({url: query, encoding: 'binary'}, (err, response, body) =&gt; { fs.writeFile(""screenshot.png"", body, 'binary', err =&gt; { if (err) { console.log(err); } else { console.log(""The file was saved!""); } });
});",Screenshots,https://www.programmableweb.com/sample-source-code/pikwy-nodejs-sample-code,https://pikwy.com,,Node.js
17," function SiteScreenshot($token, $url, $width, $height, $response_type = 'image') {	// Parameters.	$token = $token; ///YOUR_API_TOKEN	$url = urlencode($url);	$width = $width;	$height = $height;	$response_type = $response_type; ///Response type: json, image	// Create the query URL.	$query = ""https://api.pikwy.com/"";	$query .= ""?token=$token&amp;url=$url&amp;width=$width&amp;height=$height&amp;response_type=$response_type"";	// Call the API.	$image = file_get_contents($query);	// Store the screenshot image.	file_put_contents('./screenshot.png', $image);
}",Screenshots,https://www.programmableweb.com/sample-source-code/pikwy-php-source-code,https://pikwy.com,,PHP
18, This PHP example demonstrates get calls sent from a web application to the Trunkrs servers. The module retrieves labels and returns errors when appropriate.,"Shipping, European",https://www.programmableweb.com/sample-source-code/trunkrs-download-get-php-sample-code,https://github.com/Trunkrs/Trunkrs-SDK-PHP/blob/master/tests/SDK/RequestHandler/...,,PHP
19, This PHP example demonstrates how to delete shipment information. This module extracts and deletes JSON data.,"Shipping, European",https://www.programmableweb.com/sample-source-code/trunkrs-delete-test-php-sample-code,https://github.com/Trunkrs/Trunkrs-SDK-PHP/blob/master/tests/SDK/RequestHandler/...,,PHP
20," This example demonstrates how to retrieve user authorization status in PHP. This encodes the response to JSON. Also, this module retrieves a masked profile and unlinks the requested user.","Payments, Japanese",https://www.programmableweb.com/sample-source-code/paypay-get-user-status-php-sample-code,https://github.com/paypay/paypayopa-sdk-php/blob/master/tests/UserTest.php,,PHP
21, This PHP example demonstrates how to retrieve a wallet's balance. This module requires user ID and currency.,"Payments, Japanese",https://www.programmableweb.com/sample-source-code/paypay-wallet-balance-php-sample-code,https://github.com/paypay/paypayopa-sdk-php/blob/master/tests/WalletTest.php,,PHP
22, This example demonstrates how perform and decode user authentication in PHP. This module takes a payload with user details.,"Payments, Japanese",https://www.programmableweb.com/sample-source-code/paypay-user-authentication-php-sample-code,https://github.com/paypay/paypayopa-sdk-php/blob/master/tests/UserAuthTest.php,,PHP
23," This PHP example demonstrates payment refund flow. This module creates and retrieves a test payment, gets QR code data, and processes the refund.","Payments, Japanese",https://www.programmableweb.com/sample-source-code/paypay-refund-implementation-php-sample-code,https://github.com/paypay/paypayopa-sdk-php/blob/master/tests/RefundTest.php,,PHP
24," This example demonstrates how to create a QR code payload in PHP. This payload includes merchant payment ID, amount, code type, and order details.","Payments, Japanese",https://www.programmableweb.com/sample-source-code/paypay-qr-test-php-sample-code,https://github.com/paypay/paypayopa-sdk-php/blob/master/tests/QrTest.php,,PHP
