,Description,Category,Meta_Url
15,#!/usr/bin/pythonimport urllib.requestimport urllib.parse,Screenshots,https://www.programmableweb.com/sample-source-code/pikwy-python-source-code
16,var fs = require('fs')var request = require('request');,Screenshots,https://www.programmableweb.com/sample-source-code/pikwy-nodejs-sample-code
17,"function SiteScreenshot($token, $url, $width, $height, $response_type = 'image') { Screenshots",,https://www.programmableweb.com/sample-source-code/pikwy-php-source-code
18,This PHP example demonstrates get calls sent from a web application to the Trunkrs servers. The...,Shipping,https://www.programmableweb.com/sample-source-code/trunkrs-download-get-php-sample-code
19,This PHP example demonstrates how to delete shipment information. This module extracts and deletes...,Shipping,https://www.programmableweb.com/sample-source-code/trunkrs-delete-test-php-sample-code
20,This example demonstrates how to retrieve user authorization status in PHP. This encodes the...,Payments,https://www.programmableweb.com/sample-source-code/paypay-get-user-status-php-sample-code
21,This PHP example demonstrates how to retrieve a wallet's balance. This module requires user ID...,Payments,https://www.programmableweb.com/sample-source-code/paypay-wallet-balance-php-sample-code
22,This example demonstrates how perform and decode user authentication in PHP. This module takes a...,Payments,https://www.programmableweb.com/sample-source-code/paypay-user-authentication-php-sample-code
23,This PHP example demonstrates payment refund flow. This module creates and retrieves a test payment...,Payments,https://www.programmableweb.com/sample-source-code/paypay-refund-implementation-php-sample-code
24,This example demonstrates how to create a QR code payload in PHP. This payload includes merchant...,Payments,https://www.programmableweb.com/sample-source-code/paypay-qr-test-php-sample-code
25,"This PHP example creates a new account link payload which includes scope, redirect URL, and...",Payments,https://www.programmableweb.com/sample-source-code/paypay-account-link-php-sample-code
26,This PHP example demonstrates how to test payload method chaining. The application creates a new QR...,Payments,https://www.programmableweb.com/sample-source-code/paypay-payloads-test-php-sample-code
27,This Python example uses the appropriate package to perform simulated annealing. The simulation is...,Hardware,https://www.programmableweb.com/sample-source-code/d-wave-simulated-annealing-python-sample-code
28,This Python example performs transform method testing. This application checks if the...,Hardware,https://www.programmableweb.com/sample-source-code/d-wave-embedding-transforms-python-sample-code
29,"This Python example demonstrates how to perform diagnostics related to chain overlapping, chain...",Hardware,https://www.programmableweb.com/sample-source-code/d-wave-embedding-diagnostic-python-sample-code
30,This Python example demonstrates how to use the System SDK to embed D-Wave chain breaks. This...,Hardware,https://www.programmableweb.com/sample-source-code/d-wave-embedding-chain-breaks-python-sample-code
31,"This Python example demonstrates how to perform calls to get database path, start a clean...",Hardware,https://www.programmableweb.com/sample-source-code/d-wave-database-manager-test-python-sample-code
32,This example demonstrates how to list XEDI users in TypeScript. This test application calls the /1/...,Business,https://www.programmableweb.com/sample-source-code/xedi-list-users-typescript-sample-code
33,TypeScript example that demonstrates how to retrieve a user by providing its ID and calling the /1/...,Business,https://www.programmableweb.com/sample-source-code/xedi-get-users-typescript-sample-code
34,This TypeScript example demonstrates how to restore an Axios instance by providing its ID. This...,Business,https://www.programmableweb.com/sample-source-code/xedi-restore-instance-typescript-sample-code
35,This demonstrates how to delete an Axios instance by providing its ID. Positive responses are JSON...,Business,https://www.programmableweb.com/sample-source-code/xedi-delete-instance-typescript-sample-code
36,This TypeScript example demonstrates how to create an Axios instance connected to XEDI. Positive...,Business,https://www.programmableweb.com/sample-source-code/xedi-create-instance-typescript-sample-code
37,This TypeScript example demonstrates how to test a XEDI logout implementation. This removes Tokens...,Business,https://www.programmableweb.com/sample-source-code/xedi-logout-test-typescript-sample-code
38,This TypeScript example demonstrates how to test a login implementation. The application checks...,Business,https://www.programmableweb.com/sample-source-code/xedi-login-implementation-typescript-sample-code
39,PHP example that demonstrates how to send emails using the SendGrid-XEDI integration. This requires...,Business,https://www.programmableweb.com/sample-source-code/xedi-send-email-php-sample-code
40,The Contacts+ Exchanging an Authorization Code JavaScript Sample Code demonstrates how to use a...,Contacts,https://www.programmableweb.com/sample-source-code/contacts-exchanging-authorization-code-javascript-sample-code
41,The Contacts+ Exchanging an Authorization Code C# Sample Code demonstrates how to use the Contacts...,Contacts,https://www.programmableweb.com/sample-source-code/contacts-exchanging-authorization-code-c-sample-code
42,The Contacts+ Exchanging an Authorization Code Java Sample Code demonstrates how to access the...,Contacts,https://www.programmableweb.com/sample-source-code/contacts-exchanging-authorization-code-java-sample-code
43,The Contacts+ Exchanging an Authorization Code Clojure Sample Code provides a core example. The...,Contacts,https://www.programmableweb.com/sample-source-code/contacts-exchanging-authorization-code-clojure-sample-code
44,The Contacts+ Exchanging an Authorization Code Curl Sample Code demonstrates how to redirect to a...,Contacts,https://www.programmableweb.com/sample-source-code/contacts-exchanging-authorization-code-curl-sample-code
45,This Python example uses the CardService module to complete a card charge. This sends card...,Payments,https://www.programmableweb.com/sample-source-code/seerbit-card-charge-python-sample-code
46,Python example that demonstrates how to validate one time passwords using the CardService module....,Payments,https://www.programmableweb.com/sample-source-code/seerbit-validate-otp-python-sample-code
47,This Python example uses the CardService module to initiate card tokenization. This test...,Payments,https://www.programmableweb.com/sample-source-code/seerbit-tokenize-python-sample-code
48,This example demonstrates how to initiate a card payment refund in Python. This module takes credit...,Payments,https://www.programmableweb.com/sample-source-code/seerbit-card-refund-python-sample-code
49,"This Python example performs card pre-auth using a Token string. This takes credit card details,...",Payments,https://www.programmableweb.com/sample-source-code/seerbit-card-preauth-demo-python-sample-code
50,This example demonstrates how to build card capture methods in Python. The test application...,Payments,https://www.programmableweb.com/sample-source-code/seerbit-card-capture-python-sample-code
51,This example demonstrates how to create account-related methods in Python. This module performs...,Payments,https://www.programmableweb.com/sample-source-code/seerbit-account-implementations-python-sample-code
52,This example contains core barcode components for Swift. This module supports 1D and 2D barcodes....,Scanning,https://www.programmableweb.com/sample-source-code/scanbot-barcode-scanner-swift-sample-code
53,Android example that contains Optical Character Recognition components and a ready-to-use user...,Scanning,https://www.programmableweb.com/sample-source-code/scanbot-ready-to-use-ui-android-sample-code
54,This example demonstrates how to integrate core document scanning with applications. This test...,Scanning,https://www.programmableweb.com/sample-source-code/scanbot-classical-components-android-sample-code
55,This example demonstrates how to create project-related methods in Python using the project module...,File Sharing,https://www.programmableweb.com/sample-source-code/filescom-project-operations-python-sample-code
56,This Python example demonstrates how to utilize the user_request module to perform API requests....,File Sharing,https://www.programmableweb.com/sample-source-code/filescom-user-request-python-sample-code
57,This Python example demonstrates how to create and update a message using the Files.com interface....,File Sharing,https://www.programmableweb.com/sample-source-code/filescom-message-implementation-python-sample-code
58,"This Python example demonstrates how to run the automation module contained in the Files.com SDK,...",File Sharing,https://www.programmableweb.com/sample-source-code/filescom-automation-test-python-sample-code
59,The Fullscript Patients Curl Sample Code demonstrates how to access a patient object that contains...,Health,https://www.programmableweb.com/sample-source-code/fullscript-patients-curl-sample-code
60,The Fullscript Clinic Curl Sample Code demonstrates how to access the endpoints that retrieve...,Health,https://www.programmableweb.com/sample-source-code/fullscript-clinic-curl-sample-code
61,The Fullscript Supplements Curl Sample Code demonstrates how to access groups of products based on...,Health,https://www.programmableweb.com/sample-source-code/fullscript-supplements-curl-sample-code
62,The Fullscript Ingredients Curl Sample Code demonstrates how to access supplement ingredients that...,Health,https://www.programmableweb.com/sample-source-code/fullscript-ingredients-curl-sample-code
63,The Fullscript Auth Curl Sample Code demonstrates how to use the OAuth tokens to allow access to...,Health,https://www.programmableweb.com/sample-source-code/fullscript-auth-curl-sample-code
64,Objective-C example that demonstrates how to use the orchestration optimization module. This test...,Engagement,https://www.programmableweb.com/sample-source-code/thunderhead-optimizing-programmatically-using-json-objective-c-sample-code
65,This Objective-C example demonstrates how to late initialize and dynamically reconfigure the...,Engagement,https://www.programmableweb.com/sample-source-code/thunderhead-dynamic-initialization-objective-c-sample-code
66,This example demonstrates how to use the orchestration optimization module. This TabView...,Engagement,https://www.programmableweb.com/sample-source-code/thunderhead-optimizing-programmatically-using-json-android-sample-code
67,This Android example demonstrates how use the identity transfer feature module. This test...,Engagement,https://www.programmableweb.com/sample-source-code/thunderhead-identity-transfer-android-sample-code
68,This example demonstrates how to dynamically configure the Thunderhead SDK. The application...,Engagement,https://www.programmableweb.com/sample-source-code/thunderhead-dynamic-configuration-android-sample-code
69,This Objective-C is a template for basic customer engagement builds. This module is available under...,Engagement,https://www.programmableweb.com/sample-source-code/thunderhead-starter-objective-c-sample-code
70,Java example that demonstrates how to run a basic sidechain node. Custom boxes and transactions can...,Blockchain,https://www.programmableweb.com/sample-source-code/horizen-running-basic-sidechain-node-java-sample-code
71,JavaScript example that demonstrates how to serialize a transaction on the blockchain. This also...,Blockchain,https://www.programmableweb.com/sample-source-code/horizen-transaction-test-javascript-sample-code
72,This JavaScript example demonstrates how to send a message on the blockchain using an address key...,Blockchain,https://www.programmableweb.com/sample-source-code/horizen-message-implementation-javascript-sample-code
73,This JavaScript example demonstrates how to manage address keys. This transforms private keys into...,Blockchain,https://www.programmableweb.com/sample-source-code/horizen-address-test-javascript-sample-code
74,The MoEngage Session Source Tracking Objective-C Sample Code demonstrates how to view Session And...,Engagement,https://www.programmableweb.com/sample-source-code/moengage-session-source-tracking-objective-c-sample-code
75,The MoEngage Session Source Tracking Swift Sample Code demonstrates how to interact with the...,Engagement,https://www.programmableweb.com/sample-source-code/moengage-session-source-tracking-swift-sample-code
76,The MoEngage Deep Link Swift Sample Code demonstrates how to use the SDK Version 5.2.2. MoEngage...,Engagement,https://www.programmableweb.com/sample-source-code/moengage-deep-link-swift-sample-code
77,The MoEngage Tracking Events Objective-C Sample Code demonstrates how to track all the events...,Engagement,https://www.programmableweb.com/sample-source-code/moengage-tracking-events-objective-c-sample-code
78,The MoEngage Tracking Events Swift Sample Code demonstrates how to track user behavior in an app....,Engagement,https://www.programmableweb.com/sample-source-code/moengage-tracking-events-swift-sample-code
79,The MoEngage Swift Sample Code provides a sample Xcode project to help developers in integrating...,Engagement,https://www.programmableweb.com/sample-source-code/moengage-swift-sample-code
80,The MoEngage iOS Sample Code provides on GitHub an example of MoEngage-iOS-SDK integration in...,Engagement,https://www.programmableweb.com/sample-source-code/moengage-ios-sample-code
81,This example demonstrates how to create a basic React application with Poool paywall integration.,Payments,https://www.programmableweb.com/sample-source-code/poool-using-pay-integration-react-sample-code
82,This example demonstrates how to create a basic Poool-enabled page hosted locally. This test module...,Payments,https://www.programmableweb.com/sample-source-code/poool-base-integration-angularjs-sample-code
83,This example uses the Poool Junipero package to add sliders to connected third parties. The test...,Payments,https://www.programmableweb.com/sample-source-code/poool-slider-page-javascript-sample-code
84,This JavaScript example uses the Junipero module to multi-line and unthemed text fields in Poool-...,Payments,https://www.programmableweb.com/sample-source-code/poool-text-field-javascript-sample-code
85,This example uses the Junipero package to display disabled and unthemed tabs when they are...,Payments,https://www.programmableweb.com/sample-source-code/poool-tabs-page-javascript-sample-code
86,This example demonstrates how to use the Junipero package to import and use the color picker module...,Payments,https://www.programmableweb.com/sample-source-code/poool-color-picker-javascript-sample-code
87,JavaScript example that demonstrates how to use the Junipero package to display checkbox components...,Payments,https://www.programmableweb.com/sample-source-code/poool-checkbox-page-javascript-sample-code
88,This module demonstrates how to create a server using the strongDM Python bindings. This example...,Monitoring,https://www.programmableweb.com/sample-source-code/strongdm-create-ssh-server-python-sample-code
89,This example demonstrates how to use the strongDM Python bindings to create a server. This loads...,Monitoring,https://www.programmableweb.com/sample-source-code/strongdm-create-rdp-server-python-sample-code
90,Python module that demonstrates how to use the strongDM SDK to create a cluster. The test...,Monitoring,https://www.programmableweb.com/sample-source-code/strongdm-create-eks-cluster-python-sample-code
91,This Python module demonstrates how to create a datasource using the strongDM bindings. This loads...,Monitoring,https://www.programmableweb.com/sample-source-code/strongdm-create-datasource-python-sample-code
92,This Java example demonstrates how to create a user using the strongDM bindings. This creates a...,Monitoring,https://www.programmableweb.com/sample-source-code/strongdm-create-user-java-sample-code
93,This example demonstrates how to create a service account using the strongDM bindings. This module...,Monitoring,https://www.programmableweb.com/sample-source-code/strongdm-create-service-account-java-sample-code
94,"This Java example demonstrates how to define and create a role and create a user. Also, this module...",Monitoring,https://www.programmableweb.com/sample-source-code/strongdm-assign-accounts-to-roles-java-sample-code
95,Java Sample Code that illustrates how to update a Postgres resource. This test application loads...,Monitoring,https://www.programmableweb.com/sample-source-code/strongdm-update-resource-java-sample-code
96,This Java example demonstrates how to delete a Postgres resource. This module loads the API Keys...,Monitoring,https://www.programmableweb.com/sample-source-code/strongdm-delete-resource-java-sample-code
97,This Java example demonstrates how to create an SSH server using strongDM bindings. This module...,Monitoring,https://www.programmableweb.com/sample-source-code/strongdm-create-ssh-server-java-sample-code
98,"This Java example demonstrates how to create a client and load API Keys. Then, this module creates...",Monitoring,https://www.programmableweb.com/sample-source-code/strongdm-create-rdp-server-java-sample-code
99,"Java example that demonstrates how to load API Keys from the environment, create a client, and...",Monitoring,https://www.programmableweb.com/sample-source-code/strongdm-create-eks-cluster-java-sample-code
100,"This Java example loads the API Keys from the environment, creates a client, defines a Postgres...",Monitoring,https://www.programmableweb.com/sample-source-code/strongdm-create-datasource-java-sample-code
101,The Grade Get Recipients Curl Sample Code demonstrates how to get all recipients. A response could...,Reputation,https://www.programmableweb.com/sample-source-code/grade-get-recipients-curl-sample-code
102,The Grade Get Reviews Curl Sample Code demonstrates how to use the endpoint to get all reviews. The...,Reputation,https://www.programmableweb.com/sample-source-code/grade-get-reviews-curl-sample-code
103,The Grade Get Links Curl Sample Code demonstrates how to access the API to get all links....,Reputation,https://www.programmableweb.com/sample-source-code/grade-get-links-curl-sample-code
104,The Grade Get Profiles Curl Sample Code demonstrates how to access an endpoint that returns all...,Reputation,https://www.programmableweb.com/sample-source-code/grade-get-profiles-curl-sample-code
105,The Grade Get Delete A User Curl Sample Code demonstrates how to delete a sub-User. It is not...,Reputation,https://www.programmableweb.com/sample-source-code/grade-get-delete-user-curl-sample-code
106,The Grade Get Create A User Curl Sample Code demonstrates how to use the endpoint that creates a...,Reputation,https://www.programmableweb.com/sample-source-code/grade-get-create-user-curl-sample-code
107,The Grade Get Update A User Curl Sample Code demonstrates how to update a sub-User of a Master User...,Reputation,https://www.programmableweb.com/sample-source-code/grade-get-update-user-curl-sample-code
108,The Grade Get Get A User Curl Sample Code demonstrates how to get a specific user that belongs to...,Reputation,https://www.programmableweb.com/sample-source-code/grade-get-get-user-curl-sample-code
109,The Grade Get Users Curl Sample Code demonstrates how to get a collection of all users that belongs...,Reputation,https://www.programmableweb.com/sample-source-code/grade-get-users-curl-sample-code
110,The StatusPage Users Curl Sample Code demonstrates how to access the API to integrate users'...,Monitoring,https://www.programmableweb.com/sample-source-code/statuspage-users-curl-sample-code
111,The StatusPage Subscribers Curl Sample Code demonstrates how to implement subscribers'...,Monitoring,https://www.programmableweb.com/sample-source-code/statuspage-subscribers-curl-sample-code
112,The StatusPage Access Groups Curl Sample Code demonstrates how to get access groups that allow...,Monitoring,https://www.programmableweb.com/sample-source-code/statuspage-access-groups-curl-sample-code
113,The StatusPage Access Metrics Curl Sample Code demonstrates how to access page access user metrics...,Monitoring,https://www.programmableweb.com/sample-source-code/statuspage-access-metrics-curl-sample-code
114,The StatusPage Access Users Curl Sample Code demonstrates how to access users that can people who...,Monitoring,https://www.programmableweb.com/sample-source-code/statuspage-access-users-curl-sample-code
115,The StatusPage Pages Curl Sample Code demonstrates how to access page settings that include company...,Monitoring,https://www.programmableweb.com/sample-source-code/statuspage-pages-curl-sample-code
116,The StatusPage Embed Configuration Curl Sample Code demonstrates how to access operation about the...,Monitoring,https://www.programmableweb.com/sample-source-code/statuspage-embed-configuration-curl-sample-code
117,The StatusPage Auth Curl Sample Code demonstrates how to authenticate a user with the Statuspage...,Monitoring,https://www.programmableweb.com/sample-source-code/statuspage-auth-curl-sample-code
118,The Plant.id PHP Sample Code demonstrates how to access the API to implement plant identification...,Nature,https://www.programmableweb.com/sample-source-code/plantid-php-sample-code
119,The Plant.id JavaScript Sample Code demonstrates how to access the API to find similar images of...,Nature,https://www.programmableweb.com/sample-source-code/plantid-javascript-sample-code
120,The LeanEngine Objective-C Sample Code demonstrates how to switch environments in the production...,Cloud,https://www.programmableweb.com/sample-source-code/leanengine-objective-c-sample-code
121,The LeanEngine Flutter Dart Sample Code demonstrates how to use cloud function to deploy these...,Cloud,https://www.programmableweb.com/sample-source-code/leanengine-flutter-dart-sample-code
122,The LeanEngine Java Sample Code demonstrates how to use cloud function as a sub-module of...,Cloud,https://www.programmableweb.com/sample-source-code/leanengine-java-sample-code
123,The LeanEngine PHP Sample Code demonstrates how to develop an application using PHP. It is...,Cloud,https://www.programmableweb.com/sample-source-code/leanengine-php-sample-code
124,The LeanEngine Python Sample Code demonstrates how to use cloud function to deploy these types of...,Cloud,https://www.programmableweb.com/sample-source-code/leanengine-python-sample-code
125,The LeanEngine Node.js Sample Code demonstrates how to use a sub-module of LeanEngine that allows...,Cloud,https://www.programmableweb.com/sample-source-code/leanengine-nodejs-sample-code
126,The LeanEngine Curl Sample Code demonstrates how to switch environments and use cloud functions. To...,Cloud,https://www.programmableweb.com/sample-source-code/leanengine-curl-sample-code
127,The LeanCloud SMS Swift Sample Code demonstrates how to send texts to users through the cloud....,Cloud,https://www.programmableweb.com/sample-source-code/leancloud-sms-swift-sample-code
128,The LeanCloud SMS Objective C Sample Code demonstrates how to implement Short Message Service (SMS...,Cloud,https://www.programmableweb.com/sample-source-code/leancloud-sms-objective-c-sample-code
129,"The LeanCloud Java Sample Code demonstrates how to install with a package manager, install manually...",Cloud,https://www.programmableweb.com/sample-source-code/leancloud-java-sample-code
130,The LeanCloud PHP Sample Code demonstrates how to install the SDK and the most convenient one is to...,Cloud,https://www.programmableweb.com/sample-source-code/leancloud-php-sample-code
131,"The LeanCloud Unity Sample Code demonstrates how to implement with Unity 5.3+. It supports iOS,...",Cloud,https://www.programmableweb.com/sample-source-code/leancloud-unity-sample-code
132,The LeanCloud .NET Sample Code demonstrates how to install the SDK using the .NET framework as a...,Cloud,https://www.programmableweb.com/sample-source-code/leancloud-net-sample-code
133,"The LeanCloud JavaScript Sample Code demonstrates how to install the SDK with Web, Node.js, React...",Cloud,https://www.programmableweb.com/sample-source-code/leancloud-javascript-sample-code
134,"The LeanCloud Swift Sample Code demonstrates how to initialize a project, enable debug logs, and...",Cloud,https://www.programmableweb.com/sample-source-code/leancloud-swift-sample-code
135,The LeanCloud Objective C Sample Code demonstrates how to install the SDK. Resources show how to...,Cloud,https://www.programmableweb.com/sample-source-code/leancloud-objective-c-sample-code
136,This TypeScript example demonstrates how to generate a ledger by calling the correct endpoint....,Payments,https://www.programmableweb.com/sample-source-code/univapay-ledgers-test-typescript-sample-code
137,This TypeScript example demonstrates how to create charge requests by calling the correct endpoint...,Payments,https://www.programmableweb.com/sample-source-code/univapay-charges-typescript-sample-code
138,This TypeScript example demonstrates how to call the correct endpoint to create card capture...,Payments,https://www.programmableweb.com/sample-source-code/univapay-captures-typescript-sample-code
139,This TypeScript example demonstrates how to perform POST and GET methods against the proper...,Payments,https://www.programmableweb.com/sample-source-code/univapay-cancel-test-typescript-sample-code
140,TypeScript example that demonstrates how to test the correct endpoint to manage bank account...,Payments,https://www.programmableweb.com/sample-source-code/univapay-bank-account-typescript-sample-code
141,"This PHP example initializes a client instance with a Token and Secret strings, retrieves client...",Payments,https://www.programmableweb.com/sample-source-code/univapay-fetch-charges-php-sample-code
142,"This PHP example demonstrates how to create a payment charge using Token and Secret strings. Also,...",Payments,https://www.programmableweb.com/sample-source-code/univapay-create-charge-and-refund-php-sample-code
143,Sample App source code using FileZigZag Conversion API written in javascript. Visit our API...,Conversions,https://www.programmableweb.com/sample-source-code/filezigzag-sample-app-javascript-source-code
144,This example demonstrates how to perform service configuration in Go. This test module registers a...,Management,https://www.programmableweb.com/sample-source-code/nacos-service-test-go-sample-code
145,This Python example retrieves server configuration data. The test module asserts that configuration...,Management,https://www.programmableweb.com/sample-source-code/nacos-get-server-python-sample-code
146,"This C# example illustrates how to retrieve, publish and remove configuration data. Requests are...",Management,https://www.programmableweb.com/sample-source-code/nacos-configuration-request-c-sample-code
147,This C# Sample Code demonstrates how to call the values endpoint and return a mutli-part string....,Management,https://www.programmableweb.com/sample-source-code/nacos-get-values-c-sample-code
148,This C# example demonstrates how to add a Nacos service and run configuration. This test module...,Management,https://www.programmableweb.com/sample-source-code/nacos-configure-service-c-sample-code
149,This C# example demonstrates how to test if switch retrieval and modification works. Requests are...,Management,https://www.programmableweb.com/sample-source-code/nacos-modify-switches-c-sample-code
150,"C# example that demonstrates how to register an instance, remove an instance, modify an instance,...",Management,https://www.programmableweb.com/sample-source-code/nacos-register-instance-c-sample-code
151,"C# example that demonstrates how to list cluster servers, and retrieve the current cluster leader.",Management,https://www.programmableweb.com/sample-source-code/nacos-cluster-request-c-sample-code
152,Python example that demonstrates how to use PUT and GET methods on a text file using the Amazon Web...,Data,https://www.programmableweb.com/sample-source-code/snowflake-aws-put-and-get-python-sample-code
153,Python example that demonstrates how to use PUT and GET methods on a text file using the Microsoft...,Data,https://www.programmableweb.com/sample-source-code/snowflake-azure-put-and-get-python-sample-code
154,"This Python example demonstrates how to perform datatype binding using the Numpy library. Also,...",Data,https://www.programmableweb.com/sample-source-code/snowflake-numpy-binding-python-sample-code
155,This Python example executes multiple statements that create tables and insert values. This...,Data,https://www.programmableweb.com/sample-source-code/snowflake-execute-multi-statements-python-sample-code
156,"Python example that demonstrates how to test data integrity capabilities. This creates a table, and...",Data,https://www.programmableweb.com/sample-source-code/snowflake-data-integrity-python-sample-code
157,This example is a timestamp converter implementation written in Python. This demonstrates how...,Data,https://www.programmableweb.com/sample-source-code/snowflake-converter-python-sample-code
158,This Python example performs basic connection methods. This test module creates a new data...,Data,https://www.programmableweb.com/sample-source-code/snowflake-connection-implementation-python-sample-code
159,This Python example demonstrates how to run a transaction autocommit job. This test application...,Data,https://www.programmableweb.com/sample-source-code/snowflake-autocommit-python-sample-code
160,This Python example demonstrates how to run a new ingest pipeline. The test module creates an...,Data,https://www.programmableweb.com/sample-source-code/snowflake-simple-ingest-python-sample-code
161,The Live Helper Chat 2 Factor PHP Sample Code demonstrates how to use 2-factor authentication to...,Chat,https://www.programmableweb.com/sample-source-code/live-helper-chat-2-factor-php-sample-code
162,The Live Helper Chat ChatterBot PHP Sample Code demonstrates how to use the REST API to integrate a...,Chat,https://www.programmableweb.com/sample-source-code/live-helper-chat-chatterbot-php-sample-code
163,The Live Helper Chat Twilio PHP Sample Code demonstrates how to make the Twilio and Live Helper...,Chat,https://www.programmableweb.com/sample-source-code/live-helper-chat-twilio-php-sample-code
164,The Live Helper Chat Telegram PHP Sample Code demonstrates how to use an extension that can have...,Chat,https://www.programmableweb.com/sample-source-code/live-helper-chat-telegram-php-sample-code
165,The Live Helper Chat Elastic Search PHP Sample Code demonstrates how to use a plugin that enables...,Chat,https://www.programmableweb.com/sample-source-code/live-helper-chat-elastic-search-php-sample-code
166,The Live Helper Chat Facebook Messenger PHP Sample Code demonstrates how to integrate with Facebook...,Chat,https://www.programmableweb.com/sample-source-code/live-helper-chat-facebook-messenger-php-sample-code
167,The Live Helper Chat Callback Scheduler PHP Sample Code demonstrates how to use an extension that...,Chat,https://www.programmableweb.com/sample-source-code/live-helper-chat-callback-scheduler-php-sample-code
168,The Live Helper Chat Automated Hosting PHP Sample Code demonstrates how to automate the Live Helper...,Chat,https://www.programmableweb.com/sample-source-code/live-helper-chat-automated-hosting-php-sample-code
169,The Live Helper Chat Insult Detection PHP Sample Code demonstrates how to use the insult detector...,Chat,https://www.programmableweb.com/sample-source-code/live-helper-chat-insult-detection-php-sample-code
170,The Live Helper Chat PHP Sample Code demonstrates how to use chat features as an open-source...,Chat,https://www.programmableweb.com/sample-source-code/live-helper-chat-php-sample-code
171,The Live Helper Chat JavaScript Sample Code provides possible JavaScript arguments for a new widget...,Chat,https://www.programmableweb.com/sample-source-code/live-helper-chat-javascript-sample-code
172,The Respond Create Contacts Curl Sample Code demonstrates how to make a request that creates a...,Messaging,https://www.programmableweb.com/sample-source-code/respond-create-contacts-curl-sample-code
173,The Respond Contacts by Tag Curl Sample Code demonstrates how to make a request that adds tags for...,Messaging,https://www.programmableweb.com/sample-source-code/respond-contacts-tag-curl-sample-code
174,The Respond Contacts by ID Curl Sample Code demonstrates how to make a request that returns a...,Messaging,https://www.programmableweb.com/sample-source-code/respond-contacts-id-curl-sample-code
175,The Respond Contacts Curl Sample Code demonstrates how to access the Contacts API with the same...,Messaging,https://www.programmableweb.com/sample-source-code/respond-contacts-curl-sample-code
176,The Respond Contacts by Custom Field Curl Sample Code demonstrates how to make a request that...,Messaging,https://www.programmableweb.com/sample-source-code/respond-contacts-custom-field-curl-sample-code
177,The Respond Messages Send File Curl Sample Code demonstrates how to send a file as an attachment in...,Messaging,https://www.programmableweb.com/sample-source-code/respond-messages-send-file-curl-sample-code
178,The Respond Messages Send Audio Curl Sample Code demonstrates how to send an audio file as an...,Messaging,https://www.programmableweb.com/sample-source-code/respond-messages-send-audio-curl-sample-code
179,The Respond Messages Send Video Curl Sample Code demonstrates how to send a video as an attachment...,Messaging,https://www.programmableweb.com/sample-source-code/respond-messages-send-video-curl-sample-code
180,The Respond Messages Send Image Curl Sample Code demonstrates how to send an image as an attachment...,Messaging,https://www.programmableweb.com/sample-source-code/respond-messages-send-image-curl-sample-code
